Texto,Tipo
alto nivel boa musica de diversas bandinhas de inspiracao alema otima cervejas artesanais amplos espacos durante dias,1
ha decadas a limpeza e ponto forte da festa mais alema no brasil,1
bela e animada festa otimas bandas com muito chopp bom e com otimo preco r ,1
mas com pouca variedade de marcas e ,0
boas opcoes de comidas,1
 pecaram desta vez pela falta de hospitalidade,0
anos anteriores eramos bem recebidos pagavamos meia entrada por irmos a carater e animadissimos,1
este ano leoes de chacara sim somente posso me referir ao pessoal que encontrei nas catracas desta forma sem a menor cordialidade barram voce na entrada indicando que seu traje nao permite meia entrada exigindo que voce retorne a imensa e desorganizada fila que demanda minutos para recomprar meus ingressos,0
interessante que o problema com minha roupa era a bermuda que faltava detalhes bordados de minha filha a meia que nao ia ate o joelho e de minha esposa o sapato inadequado,0
concordo plenamente no respeito e em nao desmerecer o verdadeiro traje tipico inclusive acho muito legal o incentivo com a meia entrada mas faltou cordialidade faltou informacao adequada enfim faltou respeito,0
concordo com a nova regra concordo em pagar a diferenca,1
mas retornar a imensa fila,0
e na chuva,0
muito triste mesmo porque na bilheteria ninguem nos preveniu sobre a tal supervisora ser a triagem ser mal humorada grosseira e tao soberana sobre o tema,0
lembrando que anos anteriores nao era assim mas pessoal isto e uma festa viemos de longe nos hospedamos na cidade por sinal cada ano mais dificil e caro,0
pelo feriado inteiro fomos para nos divertir e nos alegrar,1
creio que esta situacao desagradavel seria resolvida se houvesse treinamento adequado pois outras demonstracoes de falta de cordialidade ou melhor outras demonstracoes de atitudes grosseiras presenciamos nas catracas,0
oras e uma festa nao devemos ser recebidos por pessoas mal orientadas mau humoradas e despreparadas,0
mas a festa vale a pena,1
so esta cada vez mais exigente e burocratizada,0
so espero que nao hajam mais surpresas nos proximos anos e que tenhamos novamente dias mais divertidos com mais hospitalidade,1
ano que vem nao mais irei me preocupar com traje tipico bermuda sapatos e olha este ano fui ate com polaina,1
vou mesmo e fantasiado feliz e despreocupado com a tal nova regra e preparado com um belo sorriso para os leoes,1
a oktoberfest iniciou no logo uma grande enchente em blumenau no inicio dos anos,1
mostra a forca desse povo,1
ao longo destas decadas e hoje e uma festa familiar e da juventude,1
excelente local com otima estrutura e diferentes cervejas e chopes,1
festa animada muuitta gente kk chop muito bom em todo o parque ,1
nao recomendo aos casais ficarem depois das horas pois o empura empura fica bem alterado,0
vi muitos adolescentes bebendo sem nenhuma restricao bem legal poder ir trajado mas de uns anos pra ca as fridas estao apelando,0
um ponto positivo foi o cartao nao tive problemas tanto em recarregar como no reeebolso,1
vi algumas pessoas com problemas nas filas para recarregar o cartao do parque com o cartao de credito mas na recarga no dinheiro foi,0
no geral sendo sincera desfiles lindos conservando a cultura alema gastronomia dentro do padrao bandas animadas enfim vi um carnaval fora de epoca querendo se passar por festa alema,1
ressaltando que isso e depois das horas kkk durante o resto do dia e bem quem precisa de estacionamento siga pelo portal deentrada oficial do parque passe por baixo da passarela atras do parque de diversoes tupa o segundo estacionamento a esquerda tem um preco bem acessivel,1
muito boa a organizacao o sistema de cartao funcionou bem pois havia varios pontos de recarga,1
local agradavel e gostoso de ficar,1
os horarios tem publicos distintos de dia mais familia e menos gente,1
a noite mais jovens e mais gente,1
tem para todos os gostos,1
a festa e linda por toda decoracao roupas tipicas comidas tipicas musicas e animacao do pessoal,1
muito organizado e limpo mesmo com multidoes em cada pavilhao,1
o ideal e a pessoa que for pela primeira vez chegar cedo e fazer um reconhecimento do local pra mais,1
e uma festa onde eles conseguem organizar tudo desde a compra do ingresso ate os banheiros,1
chopp otimo,1
comida otima,1
atendimento fantastico,1
vale muito a pena,1
sugestao compre um traje tipico e va vestido como alemao,1
uma das melhores festas tipicas alema do brasil,1
boa comida otimo chopp pessoas bonitas,1
tem desfiles tipicos por semana,1
valores de ingresso e alimentacao um pouco caro,0
este ano implantaram um cartao oktoberfest karte,1
no site a explicacao tudo sera pago pelo cartao,1
fizemos o cadastro online e na hora de carregar nao deu certo,0
fomos ate o local da festa para resolver isso a tarde pois a noite teria muita fila,0
a festa e extraordinaria,1
recomendo que familias frequentem o ambiente entre e e que os casais mais jovens e solteiros curtam a partir das,1
sao climas diferentes nestas faixas de horarios,1
a festa e super segura em qualquer horario,1
a estrutura e muito boa muito limpa,1
as atracoes sao fantasticas precos razoaveis ,1
contando que a qualidade da comida caiu um pouco,0
as canecas apetrechos recomendo comprar do lado de fora do evento pois voce pode pagar ate uns reais a menos do que mais,1
festa sensacional pelo segundo ano consecutivo participo da festa confesso que no ano passado foi melhor,1
um fato complicado e a questao de banheiros apesar de haver um grande numero de banheiros e muita gente o que torna insuficiente ,0
praca de alimentacao com preco justo,1
estivemos na festa de e a festa e maravilhosa,1
organizacao incrivel a vila toda decorada comida boa e cheia de atracoes para todos os gostos,1
estive na edicao da oktober em organizacao e estrutura muito boa,1
sao pavilhoes interligados cada um com uma o que permite vc escolher a cada,1
momento o que mais te agrada,1
assim se um pavilhao estiver meio desanimado basta ir para mais,1
evento grande bem estruturado pra quem curte festa e balada e o lugar,1
 mas nao faz nosso estilo,0
comida tipo fastfood nao nos agradou,0
muita opcao de chopp bom,1
a festa e linda,1
existem duas festas ate as e bem tranquila familiar pessoas de todas as idades,1
as musicas os shows as coreografias tudo lindo,1
comida boa,1
cerveja boa,1
apos as dai comeca a virar mais balada,1
fui durante a semana e nao estava lotado,1
parabens,1
fomos na abertura,1
no inicio nao muito cheia depois sim,1
nao gostei das opcoes de comida,0
para quem nao come carne so erraram batatas e doces,0
comprei uma batata rustica que veio fria e murcha,0
odiei,0
embora existam varias cervejarias participando parece que a festa e quase exclusivamente da eisenbahn,0
adorei os carros alegoricos e a animacao,1
lugar descontraido e pessoal animado e isso porque era uma quarta feira,1
recomendo para qualquer idade,1
organizado limpo me senti segura e o atendimento impecavel mesmo sendo o ultimo final de semana da festa e a noite simpatia em todos os locais,1
filas nos banheiros ,0
mas sempre com pessoas responsaveis pela limpeza e reabastecimento ajudam ate a segurar o copo kkkkkk as dancas apresentacoes sao imperdiveis animadissimas,1
fui em com excursao,1
blumenau recebe anualmente a oktoberfest que e a maior festa de tradicoes alemas no brasil,1
alem da festa nos pavilhoes acontecem os desfiles tematicos e e possivel aproveitar diversas opcoes de tours pelas cervejarias artesanais da cidade e pontos turisticos,1
realmente merece o status de melhor festa alema do brasil,1
dica chegue cedo para poder comer tranquilamente e depois curtir a noite bebendo todos os tipos de cerveja,1
o espaco que ocorre a festa e uma excelente replica da bavaria,1
muito popular e sempre lotado,1
tem bons restaurantes,1
pra ser igual a oktoberfest falta o imenso parque de diversoes,1
um evento de grande porte muito bem organizado com otima infraestrutura e muito animado,1
bem familiar com a presenca de criancas e tambem de idosos todos caracterizados de fritz e frida,1
cerveja boa e comidas tipicas muito saborosas,1
shows de musica e danca folclorica alema,1
adorei,1
festa muito bacana comidas diversas,1
bebibas faltam opcoes sem alcool gostaria de opcoes como suco natural tem muitas familias com criancas merece uma opcao que atenda este publico alem de agua e refrigerante,0
deveria ter trocadores em espacos neutros para papais e mamaes poderem trocar as fraldas,0
uma festa pra todas as idades va com roupas e sapatos confortaveis se pretende aproveitar o dia inteiro la epossivel comprar acessorios como tiara chapeu canecas porem com um preco mais elevados,1
o espaco e enorme e tem animacao e musica pra todas as idades num ambiente familiar,1
ate meia noite o ambiente e bem familiar depois desse horario fica um pouco dificil se divertir,0
se prepare para as filas em banheiro e caixas,0
a abertura e espetacular e vale muito a pena assistir,1
e em outubro quando blumenau fica mais alegre e colorida com os blumenauenses deixando incorporar toda riqueza da cultura germanica trazendo para a sua rotina diaria os belos vestimentos de trajes tipicos ricamente adornados,1
sao dezenove dias que a prefeitura distribui diariamente chopp pelas principais ruas da cidade e os turistas podem assistir a uma programacao de belos desfiles que contam a historia de blumenau e suas raizes na alemanha,1
o unico parque que tem aqui na nossa cidade,1
nos finais de semana fica lotado de pais e maes com seus filhos para brincar de bicicleta patins ou fazer aquela caminhada e ate pic nic,1
oktoberfest traz para blumenau pessoas de todos os cantos do nosso pais,1
sao dias festivos e alegres,1
festa muito boa para ir sozinho acompanhado ou com a familia,1
so digo que com familia nao ir nos sabados ou vespera de feriado porque e muito cheio apesar do limite de pessoas que podem entrar mas fica muito desconfortavel,0
eu prefiro as por ter menos pessoas e poder circular em todos os pavilhoes que e o mais gostoso porque assim se diverte mais,1
de uma festa tradicional alema perdendo no brasil apenas para o carnaval,1
saloes de tipicos com musicas tipicas da alemanha tocado por grupo nosso e da regiao sempre com grandes bandas vindo diretamente da alemanha,1
festa para grupos famiulias regado a comidas tipicas e ambiente totalmente seguro e tem como ponto forte alem das cerverjas tradicionais possuimos o concurso de cervejas artesanais por nos fabricadas que sao um diferencial a todos,1
demais,1
segundo ano consecutivo que visito e nao me arrependo nao existem brigas o pessoal e educado dica va vestido a caracter ir de roupa nornal faz quase voce passar vergonha,1
otima festa se vir solteiro melhor ir a noite se vir com familia melhor durante o dia,1
comida boa chopp e alegria vamos todos os anos,1
a oktoberfest e uma festa enorme com uma gastronomia incrivel e muitas opcoes de bebidas,1
aconselho comprar as entradas com antecedencia pois podem acabar,1
sugiro que comprem todas as fichas de bebidas ja no primeiro dia pois ninguem quer perder tempo em fila neh o preco das bebidas e razoavel em fichas de chopps especiais e normais saiam na faixa de reais,0
eu comprei somente e deu pra noites pra mim e eu nao bebo muito mas nao bebo pouco tambem,1
os copos sao ml as comidas eu achei bem cara qualquer coisa na faixa de reais mas acho que fazem de proposito pois todo mundo bebado mesmo o povo nem veem o que estao pagando entretanto sao saborossimas,0
o banheiro tambem e fila constante,0
se voce nao curte so aquelas musicas tradicionais na cabeca aconselho a pegar o camarote da einsenbahn,1
na faixa de r mas vale cada centavo e open,1
aconselho a ficar na mesma cidade do evento tambem pois eu fiquei em outra um dia perdi o traslado de volta e tive que desenbolsar r de uber,0
fora isso valeu muito a pena,1
a oktoberfest e uma festa linda porem eles precisam rever os valores absurdos cobrados e tambem a seguranca,1
ja deu de turista vir para ca e achar que pode fazer o que quiser e que todas as mulheres que la estao querem sexo drogas e bebedeira,0
a festa ja foi otima mas ultimamente esta virando palhacada,0
esta na hora da vila germanica tomar um providencia e conscientizar os turistas e baixar os precos,0
essa festa so tem fama pois em blumenau existem coisas bem melhor tipo o festival da cerveja que da de a zero na oktoberfest oktoberfest e festa pra turista,0
excelente descontrair e se deliciar com tantos atrativos que a festa oferece,1
organizacao limpeza seguranca e muitas opcoes de alimentacao musica e de chopes,1
com os amigos ou em familia e navegar na cultura alema diversao garantida,1
aconselho a todos a prestigiar a festa tem atracao para todas as idades,1
melhor festa do brasil,1
um grande evento,1
nasci no ano da oktoberfest e posso dizer que fui em todas as edicoes,1
teve um periodo meados dos anos que a festa ficou pouco atrativa para familias e excelente para jovens ,0
no entanto apos uma reformulacao com a entrada dos anos a festa foi nivelada e atende um publico muito mais seletivo e esta bem propicia para familias,1
portanto para quem ainda tem a imagem de carnaval alemao nao e mais nao,1
salvo nos bares abertos da xv de novembro,0
a festa esta bastante etilizada limpa e civilizada,1
nasci na cidade e desde que me lembro por gente visito a festa sempre com muita musica e muita gente legal gosto muito de rever conhecidos e conhecer gente nova na festa,1
seja para solteiro casal ou familia a oktoberfest tem inumeras opcoes,1
destaque para a culinaria alema e para os diversos tipos de chopp,1
tudo muito bonito da chegada a saida tudo impecavel,1
pratos diferentes para provar,1
chops diversos de marcas locais e famosas no brasil,1
shows e interatividade o evento todo,1
palcos para cada gosto musical,1
vale a pena visitar e ir no desfile que ocorre na cidade com duracao em torno de que e bem divertido,1
se voce deseja conhecer a cultura vai,1
senao curte vai ficar entediado,0
uma experiencia muito bacana ja fomos dois anos seguidos,1
uma otima oportunidade para conhecer um pouco da cultura alema,1
sao diversos galpoes com musica alema gente vestida a carater e uma variedade de cervejas e chopp alemao,1
precos excelentes pelo tamanho de cada chopp,1
uma festa que honra a tradicao musica comida e bebidas excelentes,1
diversao garantida vale a pena visitar,1
uma festa pra todas as idades va com roupae e sapatos confortaveis se pretende aproveitar o dia inteiro la epossivel comprar acessorios como tiara chapeu canecas porem com um preco mais elevados,1
o espaco e enorme e tem animacao e musica pra todas as idades num ambiente familiar,1
ate meia noite o ambiente e bem familiar depois desse horario fica um pouco dificil se divertir,0
se prepare para as filas em banheiro e caixas,0
a abertura e espetacular e vale muito a pena assistir,1
varios tipos de chopp e comida tipica da alemanha,1
sem falar das pessoas muito simpatica e humorada,1
uma festa que todos devem conhecer nem se for uma vez na vida varios tipos de chopp comidas tipicas bandas estilo alemao muita gente bonita vestida com trajes tipicos e o local super tranquilo com muita organizacao,1
sempre buscando limpeza e atender todo o publico da melhor forma,1
decoracao sempre voltada para reproduzir lembrancas da baviera ou lugares da alemanha,1
a oktoberfest e uma das principais festas de outubro em santa catarina,1
mudou muito nos ultimos anos e voltou a ser uma opcao tambem para a familia,1
sextas sabados e feriados sempre sao bem cheios entao se voce prefere uma visita mais calma evite ir muito tarde nestes dias,0
varias opcoes gastronomicas chopp artesanal e se precisar ate cerveja sem alcool,1
programe sempre a viagem pois os hoteis lotam cedo e os ingressos sao limitados por conta da seguranca,0
o local esta sempre cheio dificil andar fila pra tudo que voce for fazer precos muito acima de qualquer local,0
se voce realmente deseja visitar a festa sugiro um periodo fora do horario de muvuca sextas ou sabados das as ou no domingo,0
imperdivel,1
a oktoberfest e uma festa que tando individual quanto grupo de amigos quanto familia nao devem perder,1
costumamos ir em casal durante o dia pra almocar e ficar na festa ate meados da tarde,1
e uma festa muito linda indicada para familias de dia tem muitas criancas tem muitas opcoes de comida tipica musica tipica artesanatos e os ultimos dois anos tinha um parque de diversoes muito bom,1
evento bom para diversao em todas as idades,1
so poderia ser maior o espaco ja que e um evento muito conhecido no brasil todo,0
sem duvida a maior festa alema fora da alemanha,1
dias de muita alegria com bandas locais regionais e internacionais,1
a variedade de chopes artesanais poderia ser maior ja que blumenau e a capital nacional da cerveja,1
a comida e questionavel mas para o tamanh do evento ainda conseguem manter um padrao,1
local muito limpo e organizado quase impusivel ver uma briga e lembrando que a festa e regada a muita cerveja,1
minha primeira oktober foi em repetindo em e morando aqui irei ainda em muitas outras,1
e uma festa maravilhosa com gente animada nao se ve confusao durante toda a noite os funcionarios buscam manter a limpeza do lugar e fora os chopes que e possivel apreciar durante a festa,1
de todos os estilos pra todo gosto,1
aos fins de semana fica bastante cheia logo se voce nao gosta de muvuca prefira a quarta e quinta,0
da pra levar as criancas pra se divertirem tambem,1
e sem duvida uma festa pra nunca se esquecer e querer voltar sempre,1
superou todas minhas expectativas,1
uma festa maravilhosa,1
onde da pra curtir com amigos e ate mesmo com a familia e criancas,1
um ambiente super agradavel com otimos precos,1
o espaco da festa e otimo,1
muito limpo e organizado,1
bom para familia grupos de amigos casais enfim para todos,1
variedade de chopp gelado comidas deliciosas,1
amei e quero voltar todo ano,1
foi minha primeira vez na oktoberfest em blumenau fiquei do dia a,1
e uma festa bem organizada os saloes sempre limpo chopp muito gelado e com varias opcoes comida excelente,1
e uma festa sem brigas muito divertida para ir com amigos mas muitas familias vao tambem,1
para hospedagem e melhor se adiantar se esgotam meses antes da festa fiquei no municipio pertinho em timbo no hostel corremundo melhor hostel que ja me hospedei,1
apesar que ficar hospedada em timbo o dono do hostel nos levava e buscava todos os dias por um preco justo,1
ha uber e taxi o tempo todo para transporte do festival,1
aproveitei para conhecer algumas cidadezinhas do vale europeu como pomerode,1
quem imagina que a festa e so cerveja cerveja e cerveja esta muito enganado,1
sou de sao luis do maranhao e fui curtir essa festa com minha familia e amigos,1
meus pais gostaram muito da e comidas tipicas dao um ar especial a festa,1
e bom voce sentir uma cultura totalmente diferente da sua o brasil e capaz de nos da essa oportunidade devida a sua grande diversidade cultural,1
a villa germanica e belissima o ambiente da festa e maravilhoso as pessoas vao para se divertir,1
nao vi uma confusao se quer,1
tudo muito organizado,1
algo que me chamou atencao foi a limpeza impecavel para uma festa daquele tamanho mais de pessoas no dia em que fui,1
a banda tocando as pessoas dancando e equipes de limpeza a todo vapor trabalhando no meio do publico,1
fizemos muitas amizades na festa nao so com pessoas de blumenau mas de varias cidades de santa catarina,1
blumenau esta de parabens,1
fiquei hospedado em balneario camboriu e fiz meus translados para festa sem dificuldades com a jopavi turismo,1
a festa e linda,1
super movimentada muita comida e bebida diversas cervejas e com preco bem bacana,1
tambem tem muita musica e danca e varias pessoas com roupas tipicas que e muito legal,1
durante o dia tem muitas familias e e mais tranquilo ,1
a partir das e mais jovem e cheio,0
mas o encanto e o mesmo,1
no recinto da festa alem de comida e bebida ainda e possivel comprar lembracinhas canecas roupas tiaras,1
excelente festa vale muito pena visitar,1
para os solteiros de plantao curtir a oktober no final de semama a partir das e um otimo programa ja para casais e familia acho que os melhores dias para curtir a festa e de segunda a quinta feira ou antes das nos finais de semana se prepare para enfrentar fila para comprar comida e bebida ir ao banheiro e etc,0
vale muita a pena conhecer essa festa tao tradicional na cidade de blumenau com otimo chopp aperitivos e buffet de comida tipica alem das varias pessoas desfilando pela festa com seus trajes tipicos alema que sao faceis de adquirir no centro da cidade ou no proprio parque vila germanica,1
ah pra quem pretende beber muito chopp sugiro pegar um taxi ou uber,1
lugar top com gente bonita e educada,1
muita cerveja boa e barata,1
a tradicao do evento e de emocionar,1
volto facil,1
estivemos por dois dias,1
como foi uma fugida de ultima hora tivemos dificuldades para encontrar um local e pagamos muito caro para hospedar porem valeu a pena,0
cerveja maravilhosa gente bonita e alegria tipica do povo germanico,1
festa tipica como tudo que tem direito chopp artesanal de todos os tipos de grandes marcas eisenbahn hemmer baden baden schorstein oktobier blumenau bierland entre outras,1
sugiro experimentar o licor de cerveja da eisenbahn vende em apenas alguns pontos,1
alem disso temos muita comida tipica como marreco recheado hamburguer de pato joelho de porco apfelstrudel torta de maca spetzel macarrao alemao entre outros,1
tem ainda competicoes tipicas dos clubes de caca e tiro como tiro ao alvo passaro ao alvo bocha vale a pena visitar principalmente dias da semana qdo tem menos publico e menos fila consequentemente,1
uma dica para quem vem de fora durante a semana nao cobram ingresso de quem entrar antes das e no final de semana ate o meio dia,1
se quiser entrar mais tarde no parque e deixar para vir em cima da hora pode nao conseguir entrar devido limite de publico,0
a oktoberfest de blumenau e um festival de tradicoes germanicas que ocorre na cidade de blumenau em santa catarina durante o mes de outubro,1
esta na sua edicao,1
o local onde ocorre o evento voce encontra lojas e restaurantes com comidas tipicas alemas shows com bandas tipicas competicoes e muita cerveja,1
vale muito a pena conferir,1
a oktoberfest atende todos os estilos e idades,1
recomendo quem quer ir a noite com a esposa ou namorada ir ate,1
sexta e sabado sao lotados e e proprio para solteiros,0
tem muita opcao de comida tipica alema e ate um buffet,1
boa festa,1
a festa em si e muito boa mas para quem nao gosta de lugares muito cheios aconselho ir de segunda a quinta,1
sexta e sabado fica insuportavel,0
alem do calor e das musicas alemas que parecem ser sempre a mesma e tanto empurra empurra que a gente acaba se irritando,0
dias de semana e uma otima opcao para curtir a festa e comer com mais tranquilidade,1
o local e muito espacoso e comporta muitas pessoas,1
e realmente uma festa tipica na decoracao nos grupos folcloricos nos pratos nas brincadeiras e no repertorio das bandas,1
muitos visitantes se vestem a carater o que contribui para a ambientacao,1
fomos tres noites seguidas de a sabado,1
na quinta e na a festa e mais tranquila ate por volta das horas,1
e facil circular os banheiros ainda sao acessiveis ha lugares disponiveis nas mesas quase nao ha filas nos guiches e nas barracas,1
apos as horas o publico aumenta consideravelmente e com ele as filas e a dificuldade para caminhar,0
no sabado as noite o local ja estava lotado possivelmente porque havia aberto bem mais cedo desde as horas da manha,0
o jeito e escolher bem o horario de acordo com o seu perfil,0
se quiser frequentar com a familia com tranquilidade para se divertir sem apertos va nos horarios em que o movimento e menor,0
nesses horarios ha muitas familias com pessoas de todas as idades,1
se prefere agitacao depois das horas ou na noite de sabado,1
o desfile na xv de novembro e imperdivel,1
acontece nas quintas e nos sabados mas sempre fica condicionado as condicoes climaticas,1
com chuva o desfile pode ser cancelado,0
na vila germanica estao a venda objetos tipicos como os canecos estes indispensaveis porque a cerveja e servida em copos de plastico,1
os precos ali sao bem mais caros que os praticados no comercio do centro da cidade mas os produtos sao iguais,0
quem preferir economizar pode passar antes nas lojinhas da xv de novembro para comprar mais barato,1
antes de se divertir nas belas e confortaveis estruturas da vila germanica va ao desfile na rua xv de novembro sao varias atracoes e o e garantido sendo um verdadeiro esquenta para aproveitar a festa,1
fui pela segunda vez em e o diferencial e que tinha mais tipos de chopp que em,1
o grande problema da festa e ficar min numa fila pra ir ao banheiro,0
eles precisam melhorar isso porque e sempre assim,0
fora isso as bandinhas sao bem legais tem varios pavilhoes pra atender a todos os gostos,1
tem que tomar cuidado com os tarados que bebem demais e ficam bulinando tanto mulheres quanto homens,0
regada a muita comida tipica o chope artesanal das mais variadas receitas e a atracao principal da festa durante a semana e melhor ir para passear com a familia mas ,1
aos finais de semana ate da pra arriscar com os amigos minha noiva e eu nao vamos mais aos sabados nao tem como se mexer la dentro procuramos ir a noite durante a semana domingo de tarde ou na pior da hipoteses na sexta a noite,0
muitas areas cobertas musica ao vivo em todos os pavilhoes ,1
pouca variedade de comida visto a farta culinaria alema,0
no local tem alguns brinquedos de parque de diversao,1
foto de artesanato vendido nas lojinhas,1
depois de muitos anos finalmente consegui realizar meu sonho de conhecer a linda festa da oktoberfest,1
a festa e cheia de atracoes muitas bandas diferentes vasta culinaria germanica sem falar nos deliciosos clima e de total descontracao onde se pode encontrar pessoas de todos os cantos do brasil,1
com certeza voltarei,1
se voce gosta e aprecia uma boa cerva gelada e imprescindivel ir pelo menos uma vez ao oktoberfest serio e incrivel a festa a decoracao as musicas tipicas a felicidade das pessoas a imersao na cultura alema tudo muito bom,1
lugar para familias grupos de amigos e casais todo tipo de pessoa pessoas do brasil e mundo todo e realmente uma experiencia incrivel ,1
porem se voce nao gosta muito de muvuca va preparado pois e muvuca especialmente no sabado do feriado das criancas so vai,0
fomos apenas um dia no sabado do ultimo do evento ficamos em balneario camboriu e antes de ir para a vila germanica fomos no desfile as e foi muito divertido,1
de la chegamos na festa umas e ainda estava tranquilo ,1
a noite ficou muito mais cheio fomos embora as e foi o suficiente,0
da proxima vez vou ver um hotel na cidade mesmo,0
tem bandas em cada setor e o publico e bem variado muitas fantasias tipicas e e bastante limpo e o galpao e enorme sao espacos todos com passagens de um para o outro,1
importante as fichas de comidas nao valem para qualquer lugar tem caixas para trocar por fichas em cada setor,0
compramos um dog duplo por r e bolinho de aipim por r,0
cada chopp pilsen era r tem bastante banheiros e formam filas como sempre no feminino e masculino,1
no fundo do setor havia uma estande de tiros tiros sao r,1
a parte do parque de diversoes era boa mas estava vazia no momento,1
o oktberfest de blumenau e uma das melhores festas do pais,1
e nao e so pela qualidade das cervejas servidas mas tambem pela animacao e organizacao da festa no pavilhao,1
fomos no restaurante dentro do setor dois gastoff do diogo,1
muito bom atendimento e um buffet de comida tipica alema maravilhoso,1
o lugar e enorme,1
o publico e de toda a idade,1
fui no fds no periodo das ate meia noite,1
mutia gente muitas filas,0
nao tive problemas com banheiros,1
os chopps custam a partir de reais,1
la dentro tem comida alema a partir desse valor,1
recomendo ter muito cuidado com seus pertences,0
em um determinado horario funcionarios passavam avisando que o indice de furto estava alto portanto ,0
quem for com roupa alema paga meia muitas pessoas vao trajadas assim o que da um diferencial na festa,1
a vila germanica e muito lugares que vendem garrafas de cervejas artesanais com embalagem para voo,1
no mais vale a pena curtir o desfile na rua tambem,1
e muito interessante e animado,1
se voce nunca foi aproveite e va no proximo ano,1
vale muito a pena primeira dica reserve o hotel ou pousada bem antes da festa no ano de eu e meus amigos preferimos ficar em uma cidade proxima balneario camburiu e de la pegar uma van para ir para a festa porque a hospedagem era mais barata e ainda tinha vaga,1
no ano de eu e os migos fizemos um bate volta de curitiba pra festa mas olhe cansativo hein,0
compre o ingresso no site porque e muito mais facil e voce garante a entrada afinal tem uma certa quantidade de pessoas que cabem na vila germanica,1
a estrutura e maravilhosa la dentro tem uma vila com lojinhas pra comprar presentes tem praca de alimentacao banheiros e galpoes gigantes onde a festa acontece,1
bem chegou na festa passa no caixa e compre todas as fichas que voce vai usar fica muito mais facil porque como realmente e muita gente na festa,1
la dentro os galpoes sao interligados e em cada um rola um tipo diferente de musica alema vale mega a pena porque voce vai querer dancar todas as musicas ainda mais quando a banda ensina os passinhos,1
se voce for com familia aconselho ir de tarde porque e menos movimentado,1
se voce for em galera caraca e irado carnaval fora de epoca e so digo isso,1
aproveita fiiiii,1
vale o esforco de vir pra blumenau e conhecer essa festa magnifica,1
chopp gastronomia num todo pontos turisticos,1
e vir e se divertir,1
para quem nao quer agito venha sempre durante a semana,1
final de semana e bem complicado devido ao grande numero de visitantes,0
e uma excelente festa,1
o local e limpo e organizado,1
pra quem quer ir com a familia recomendo sempre optar pelos dias de semana pois as sextas sabados e vespera de feriado e bem lotado,0
se nao der procure ir mais cedo e ficar no maximo ate a meia noite depois a festa fica um pouco mais agitada muito cheia e chega a ser dificil de caminhar,0
muitas cervejas culinaria alema desde buffet ate sanduiches bandas muito boas um pequeno parque de diversao e varias lojinhas de souvenir,1
existem varios estacionamentos nas imediacoes da festa mas sugiro optar por taxi ou uber para poder beber sem preocupacao,1
os pavilhoes da oktoberfest ficam proximos ao terminal urbano da proeb e a uma curta distancia do centro da cidade km aproximadamente,1
os desfiles acontecem na rua xv de novembro no centro sempre nas quartas as e aos sabados as,1
caso voce va com a sua familia ou quer algo mais sossegado va durante o dia uma festa muita bonita e com uma infraestrutura muito legal para turistas,1
ja tive a experiencia de ir durante a noite e eu particularmente achei terrivel nao da pra caminhar direito filas e mais filas e muita muita gente bebada,0
no mais a festa e bem alema possui desfiles comida e musicas bem tipicas,1
pela primeira vez participei dessa festa,1
a impressao que tive e que ela cresceu ao longo dos anos perdendo um pouco da tradicao,0
as bandas se adequaram aos novos tempos tinha duvidas se as musicas eram alemas ou uma mistura de axe carnaval,1
mas e uma festa organizada,1
o desfile das comunidades alemas da cidade vale mais a pena,1
pareceu mais tradicional,1
valeu cada centavo que gastei na oktober,1
espetacular,1
chope do primeiro ao ultimo geladissimo ambiente limpissimo comida excelente musicas que nao lhe deixam ficar parado,1
otimo ambiente para todas as idades,1
meu filho de ano e meses como nunca,1
por sorte pegamos a banda cavalinho boa demais,1
voltarei com certeza,1
festa com mta tradicao,1
boa comida e organizacao quase nao tivemos problema algum com filas inclusive nos banheiros,1
muita animacao e festa com bandas tipicas alemas e uma excelente variedade de chopps pilsen artesanais etc,1
estive pela primeira vez no oktoberfest de blumenau sc e com ctz voltarei em uma proxima oportunidade,1
esta entre as maiores festa da cerveja se nao a maior com atracoes para todos musicas regionais antigas mas com atuais tambem apresentada por bandas sensacionais comida tradicional tipica diversificada para gostos e paladares indumentaria belissima uma festa para todas idades na vila germanica e com direito a desfiles,1
esta festa e sensacional para quem gosta de cervejas,1
sao pavilhoes com bandas tipicas diferentes,1
mas elas nao se limitam apenas a musica alemao nao,1
tocam de tudo para voce se divertir muito apreciando as varias opcoes de cervejas,1
os banheiros sao constantemente higienizados assim os pavilhoes,1
apesar do volume de pessoas ha muita seguranca no local,1
vale muito a pena conhecer esta festa,1
festa muito divertida e organizara,1
lugar que serve para levar a familia toda,1
muitas opcoes de alimentacao e diversao,1
bandas tipicas maravilhosas festa muito boa,1
vale a pena conhecer,1
excelente festa que me faz voltar mais uma vez para blumenau,1
com comida tipica alema e o melhor do chopp,1
varios setores com som ao vivo,1
a alegria e contagiante,1
recomendo a todos,1
a oktoberfest e uma bela festa com muitas musicas e comidas tipicas,1
vale muito a visita e a beleza da festa,1
dispensa comentarios otima festa,1
regada de muita musica comida bebida e muita gente alegre e bonita,1
bem organizada limpa e muito bem atendimentos,1
sem contar com a vila germanica que e linda,1
e um pouco da alemanha em blumenau,1
muito bom o evento mesmo vc sem estar a carater voce se diverte muito,1
